            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ
2459845.500000000, A.D. 2022-Sep-23 00:00:00.0000,  1.501409394622880E+08, -8.471016897637906E+05, -3.685707527306995E+05, -2.949925999285836E-01,  2.723668024126739E+01,  1.180717816228687E+01
2459846.500000000, A.D. 2022-Sep-24 00:00:00.0000,  1.500933757963485E+08,  1.506206019762052E+06,  6.516058587320612E+05, -8.061144129033480E-01,  2.723663174049084E+01,  1.180741058102840E+01
2459847.500000000, A.D. 2022-Sep-25 00:00:00.0000,  1.500016297627860E+08,  3.859144573988260E+06,  1.671643596814064E+06, -1.317691227072921E+00,  2.722812193313376E+01,  1.180395574714197E+01
2459848.500000000, A.D. 2022-Sep-26 00:00:00.0000,  1.498656731424502E+08,  6.210979803198466E+06,  2.691221982704196E+06, -1.829462013207505E+00,  2.721108217561536E+01,  1.179677110102020E+01
2459849.500000000, A.D. 2022-Sep-27 00:00:00.0000,  1.496855013281867E+08,  8.560972622645462E+06,  3.710017300549642E+06, -2.341141872136037E+00,  2.718546885025584E+01,  1.178582509436793E+01
2459850.500000000, A.D. 2022-Sep-28 00:00:00.0000,  1.494611351505460E+08,  1.090838157466244E+07,  4.727703760984099E+06, -2.852428307736185E+00,  2.715127194406947E+01,  1.177110204743351E+01
2459851.500000000, A.D. 2022-Sep-29 00:00:00.0000,  1.491926219648436E+08,  1.325246602570865E+07,  5.743955053992817E+06, -3.363011897801333E+00,  2.710852129008306E+01,  1.175260611830667E+01
2459852.500000000, A.D. 2022-Sep-30 00:00:00.0000,  1.488800356776601E+08,  1.559248973775674E+07,  6.758446169857107E+06, -3.872589829328815E+00,  2.705728878528080E+01,  1.173036340876566E+01
2459853.500000000, A.D. 2022-Oct-01 00:00:00.0000,  1.485234755617680E+08,  1.792772443038512E+07,  7.770855301783375E+06, -4.380880013421896E+00,  2.699768595600477E+01,  1.170442172022815E+01
2459854.500000000, A.D. 2022-Oct-02 00:00:00.0000,  1.481230639052857E+08,  2.025745294685972E+07,  8.780865628164867E+06, -4.887633662021077E+00,  2.692985738580569E+01,  1.167484807270969E+01
