JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ
2459845.500000000, A.D. 2022-Sep-23 00:00:00.0000, -1.014319519875520E+08,  2.982575158160208E+07,  1.983782771574661E+07, -1.166353075744313E+01, -3.058343832500155E+01, -1.302337426980937E+01
2459846.500000000, A.D. 2022-Sep-24 00:00:00.0000, -1.023991898725976E+08,  2.717182583420791E+07,  1.870486431214197E+07, -1.072479530799986E+01, -3.084594148385980E+01, -1.320088274831670E+01
2459847.500000000, A.D. 2022-Sep-25 00:00:00.0000, -1.032849588655006E+08,  2.449628181985900E+07,  1.755701912282569E+07, -9.777804806530630E+00, -3.108382982789223E+01, -1.336783784647747E+01
2459848.500000000, A.D. 2022-Sep-26 00:00:00.0000, -1.040885789997481E+08,  2.180125408222707E+07,  1.639520958512957E+07, -8.823330335747377E+00, -3.129692573538037E+01, -1.352411085663181E+01
2459849.500000000, A.D. 2022-Sep-27 00:00:00.0000, -1.048094371650043E+08,  1.908889160753465E+07,  1.522036386482324E+07, -7.862148292484899E+00, -3.148507252627118E+01, -1.366958215781867E+01
2459850.500000000, A.D. 2022-Sep-28 00:00:00.0000, -1.054469875358599E+08,  1.636135601121873E+07,  1.403342006731225E+07, -6.895039683929928E+00, -3.164813455064889E+01, -1.380414130009176E+01
2459851.500000000, A.D. 2022-Sep-29 00:00:00.0000, -1.060007519397142E+08,  1.362081971787612E+07,  1.283532544196396E+07, -5.922789422550552E+00, -3.178599725579202E+01, -1.392768707927604E+01
2459852.500000000, A.D. 2022-Sep-30 00:00:00.0000, -1.064703201637136E+08,  1.086946413633675E+07,  1.162703558038793E+07, -4.946185620606574E+00, -3.189856723191883E+01, -1.404012760215605E+01
2459853.500000000, A.D. 2022-Oct-01 00:00:00.0000, -1.068553502007496E+08,  8.109477831700063E+06,  1.040951360949702E+07, -3.966018885109705E+00, -3.198577223676535E+01, -1.414138034210713E+01
2459854.500000000, A.D. 2022-Oct-02 00:00:00.0000, -1.071555684345919E+08,  5.343054696155827E+06,  9.183729380173737E+06, -2.983081614088029E+00, -3.204756119918166E+01, -1.423137218520097E+01
2459855.500000000, A.D. 2022-Oct-03 00:00:00.0000, -1.073707697643048E+08,  2.572392120392596E+06,  7.950658652362796E+06, -1.998167294991984E+00, -3.208390420197456E+01, -1.431003946683869E+01
2459856.500000000, A.D. 2022-Oct-04 00:00:00.0000, -1.075008176681677E+08, -2.003108326245666E+05,  6.711282277405092E+06, -1.012069806058970E+00, -3.209479244426846E+01, -1.437732799898671E+01
2459857.500000000, A.D. 2022-Oct-05 00:00:00.0000, -1.075456442073866E+08, -2.972855249748233E+06,  5.466585378421973E+06, -2.558272127379942E-02, -3.208023818360855E+01, -1.443319308807976E+01
2459858.500000000, A.D. 2022-Oct-06 00:00:00.0000, -1.075052499699381E+08, -5.743044183876083E+06,  4.217556529552685E+06,  9.605013801588158E-01, -3.204027465815878E+01, -1.447759954369566E+01
2459859.500000000, A.D. 2022-Oct-07 00:00:00.0000, -1.073797039549721E+08, -8.508684462609923E+06,  2.965186934836551E+06,  1.945391599276699E+00, -3.197495598929873E+01, -1.451052167810596E+01
2459860.500000000, A.D. 2022-Oct-08 00:00:00.0000, -1.071691433982297E+08, -1.126758848765782E+07,  1.710469607526554E+06,  2.928299397076793E+00, -3.188435706482992E+01, -1.453194329675775E+01
2459861.500000000, A.D. 2022-Oct-09 00:00:00.0000, -1.068737735390113E+08, -1.401757602332282E+07,  4.543985506125917E+05,  3.908439267729362E+00, -3.176857340319039E+01, -1.454185767980952E+01
2459862.500000000, A.D. 2022-Oct-10 00:00:00.0000, -1.064938673292803E+08, -1.675647597244920E+07, -8.020320606768591E+05,  4.885029404704547E+00, -3.162772099895534E+01, -1.454026755481171E+01
2459863.500000000, A.D. 2022-Oct-11 00:00:00.0000, -1.060297650855446E+08, -1.948212813822277E+07, -2.057828693633230E+06,  5.857292359111364E+00, -3.146193614993890E+01, -1.452718506062068E+01
2459864.500000000, A.D. 2022-Oct-12 00:00:00.0000, -1.054818740842193E+08, -2.219238497025079E+07, -3.311999269333774E+06,  6.824455689558080E+00, -3.127137526625929E+01, -1.450263170265849E+01
